"","Phase","week","year","monthname","yearmonth","state","newcases","UE_unweight","UE_weight","CLF_unweight","CLF_weight","scenario","unemp_rt_unweight","unemp_rt_weight"
"1",1,2,2020,"May","2020 May","Alabama",38657.5496745414,39.274837699942,304129.02630516,873.745633174981,2206395.95107387,"scenario 2",0.0449499673689088,0.13783973187457
"2",1,6,2020,"Jun","2020 June","Alabama",33080.9776316385,82.97087519959,301978.093705849,854.167936676524,2179411.74361864,"scenario 2",0.0971364899535105,0.138559450544417
"3",1,10,2020,"Jul","2020 July","Alabama",33599.2833256841,93.8895411331471,302027.953563999,848.385577528596,2221204.14492714,"scenario 2",0.11066847860221,0.135974873923129
"4",2,13,2020,"Aug","2020 August","Alabama",39290.4209173339,101.043463540798,306304.28819683,877.860597191782,2228323.77201707,"scenario 2",0.115101946555102,0.137459507475237
"5",2,14,2020,"Sep","2020 September","Alabama",29153.7661224051,101.549608504618,295718.067748293,1010.89114572922,2208394.84548093,"scenario 2",0.100455532659121,0.133906338512529
"6",2,17,2020,"Oct","2020 October","Alabama",25587.0418286598,69.3043765681033,290651.598718045,1067.39910540448,2229582.21228636,"scenario 2",0.0649282693017071,0.130361462841055
"7",3,19,2020,"Nov","2020 November","Alabama",36247.4201947226,51.9758953315189,296923.121381081,1070.490285662,2213651.6810062,"scenario 2",0.0485533554369214,0.134132720124295
"8",3,21,2020,"Dec","2020 December","Alabama",63206.7779182604,62.3929101155952,323426.08108354,1041.86510442617,2186053.82881194,"scenario 2",0.0598857854539236,0.147949733360095
"9",3,22,2021,"Jan","2021 January","Alabama",40129.6106286916,54.0427307775382,309499.368168194,1058.12232493099,2184168.29054277,"scenario 2",0.0510741806539835,0.141701245965476
"10",3,24,2021,"Feb","2021 February","Alabama",23231.4659077177,53.9831602671764,297333.469860249,1072.25787819742,2205594.04338846,"scenario 2",0.0503453146531576,0.134808792557063
"11",3,26,2021,"Mar","2021 March","Alabama",31571.9816072979,57.5726244928548,293157.41567348,1047.81441107769,2204511.26284837,"scenario 2",0.0549454406087436,0.132980684024586
"12",1,2,2020,"May","2020 May","Alaska",4887.25163231695,50.876602856654,42123.22154533,590.125641820648,338171.526880825,"scenario 2",0.0862131709777771,0.124561703742062
"13",1,6,2020,"Jun","2020 June","Alaska",4609.3041870195,77.5503851678535,42163.6861688541,556.249532954897,335378.521676337,"scenario 2",0.139416539832208,0.125719697129397
"14",1,10,2020,"Jul","2020 July","Alaska",4673.64013321469,82.5356806132554,41624.4057007987,597.459859588604,337503.168715756,"scenario 2",0.138144310933436,0.123330414523766
"15",2,13,2020,"Aug","2020 August","Alaska",5504.62858965401,144.795765174886,43575.5297694125,625.283370222401,339425.361872917,"scenario 2",0.231568233013114,0.128380299954508
"16",2,14,2020,"Sep","2020 September","Alaska",4037.34784317928,137.63423741225,42086.1702702751,622.568000915265,335671.007682417,"scenario 2",0.221075026679668,0.125379223427283
"17",2,17,2020,"Oct","2020 October","Alaska",3521.4279862772,111.597805976943,40961.2979496292,613.669360550571,342315.000942242,"scenario 2",0.181853312469144,0.119659663867727
"18",3,19,2020,"Nov","2020 November","Alaska",5074.8664328963,115.664997729045,42536.0157948727,606.037853857094,342147.744967484,"scenario 2",0.190854411144291,0.124320608335195
"19",3,21,2020,"Dec","2020 December","Alaska",8838.52297826801,108.515520967381,46377.7731504809,613.286619555789,345135.251553059,"scenario 2",0.176940956328022,0.134375648218453
"20",3,22,2021,"Jan","2021 January","Alaska",5782.97307209764,91.1326580783589,42783.0918453262,608.512519629097,341225.40949342,"scenario 2",0.14976299605784,0.12538073266244
"21",3,24,2021,"Feb","2021 February","Alaska",2859.61820321687,87.3327122924663,40653.8307884666,619.969567602378,333744.732350296,"scenario 2",0.140866127720123,0.121811153399109
"22",3,26,2021,"Mar","2021 March","Alaska",3799.15978931221,91.3636465103978,41474.7660738391,585.837648551177,329019.674284662,"scenario 2",0.155953866632415,0.12605558060931
"23",1,2,2020,"May","2020 May","Arizona",59661.0831454986,64.3923836700444,439669.462347885,698.548184523322,3490315.7114466,"scenario 2",0.0921803035161915,0.125968393319256
"24",1,6,2020,"Jun","2020 June","Arizona",49290.810168101,135.549172978891,460501.358648406,675.060638285947,3500223.49206559,"scenario 2",0.200795551230872,0.131563415791101
"25",1,10,2020,"Jul","2020 July","Arizona",49297.8233209548,148.944772735716,462876.351675736,689.405887622921,3467813.76781552,"scenario 2",0.216048013818505,0.133477857424655
"26",2,13,2020,"Aug","2020 August","Arizona",61101.7412559334,178.103607376892,454660.281287605,683.524881935321,3456877.87307011,"scenario 2",0.260566384756342,0.131523385546685
"27",2,14,2020,"Sep","2020 September","Arizona",41313.934416974,180.670232639486,465515.866428444,888.028063337397,3494447.34633759,"scenario 2",0.203451039554414,0.133215876586704
"28",2,17,2020,"Oct","2020 October","Arizona",34562.2483767551,139.389036510609,464333.604706584,905.985973673891,3493910.40418238,"scenario 2",0.153853415572614,0.132897971324838
"29",3,19,2020,"Nov","2020 November","Arizona",56349.7725525226,116.853378673984,461231.923033205,899.749509398762,3474307.32847821,"scenario 2",0.129873234109424,0.132755073004791
"30",3,21,2020,"Dec","2020 December","Arizona",134557.708288644,114.831633266914,429381.206759714,841.028604594265,3490097.76340037,"scenario 2",0.136537131602453,0.123028418075422
"31",3,22,2021,"Jan","2021 January","Arizona",67287.352423705,121.151588121169,450799.630969663,854.916656184959,3517757.51709888,"scenario 2",0.141711577666301,0.128149717192969
"32",3,24,2021,"Feb","2021 February","Arizona",31425.4633630051,123.40799583802,462659.970514553,823.518693133919,3530479.68076762,"scenario 2",0.149854516803241,0.13104733983739
"33",3,26,2021,"Mar","2021 March","Arizona",45609.5868428174,124.706213308646,459698.26879876,780.232907309292,3508289.7964105,"scenario 2",0.15983203494801,0.131032011457291
"34",1,2,2020,"May","2020 May","Arkansas",23672.1728865975,34.0861036075836,164199.105009077,734.023574008668,1351618.77276266,"scenario 2",0.0464373418164648,0.121483297152983
"35",1,6,2020,"Jun","2020 June","Arkansas",21269.723811914,78.7990384267919,163262.077554671,667.665548913246,1327983.70812795,"scenario 2",0.118021722934563,0.1229398196344
"36",1,10,2020,"Jul","2020 July","Arkansas",21714.709281232,84.3573738663123,163530.714940241,648.044003632147,1318947.74798689,"scenario 2",0.130172292920708,0.123985741808072
"37",2,13,2020,"Aug","2020 August","Arkansas",23969.6544502227,86.8801147102826,161013.665995139,691.241018024026,1333967.03550218,"scenario 2",0.125687151724065,0.120702882237659
