"","Phase","week","year","monthname","yearmonth","state","newcases","UE_unweight","UE_weight","CLF_unweight","CLF_weight","scenario","unemp_rt_unweight","unemp_rt_weight"
"1",1,2,2020,"May","2020 May","Alabama",18200,92.9999999999916,705057.773276352,890.999999999999,2246656.62565409,"scenario 1",0.104377104377095,0.313825337270257
"2",1,6,2020,"Jun","2020 June","Alabama",20277,109.000000000005,393974.590311017,884.000000000004,2249737.81035359,"scenario 1",0.123303167420819,0.175120224453665
"3",1,10,2020,"Jul","2020 July","Alabama",49789,117.686991857212,376362.230345157,879.292527429356,2296709.39484469,"scenario 1",0.133842820433462,0.163870201075486
"4",2,13,2020,"Aug","2020 August","Alabama",38234,84.5135501617824,256800.902991496,883.328776646012,2241535.9588328,"scenario 1",0.0956762107113495,0.114564703715579
"5",2,14,2020,"Sep","2020 September","Alabama",28272,85.9845141008206,250978.659195779,1009.05282669029,2204686.47427534,"scenario 1",0.0852130947225542,0.113838707736561
"6",2,17,2020,"Oct","2020 October","Alabama",38841,58.8151734262921,247212.285091597,1062.00049756729,2218744.63294725,"scenario 1",0.0553814932865091,0.111419890969253
"7",3,19,2020,"Nov","2020 November","Alabama",55911,46.5866881982118,266484.395244328,1066.40833547294,2205594.39371657,"scenario 1",0.0436856002044952,0.120822031468481
"8",3,21,2020,"Dec","2020 December","Alabama",111702,50.165741673617,260979.56064652,1032.03940175798,2166280.2451823,"scenario 1",0.0486083589329674,0.120473591183286
"9",3,22,2021,"Jan","2021 January","Alabama",98413,39.2415164953272,225975.123173315,1039.56660921872,2147065.99059388,"scenario 1",0.0377479578002404,0.105248336177506
"10",3,24,2021,"Feb","2021 February","Alabama",33697,43.4762659003253,239912.944282404,1051.51294594561,2165044.24517721,"scenario 1",0.0413463914714123,0.110812028353151
"11",3,26,2021,"Mar","2021 March","Alabama",22087,39.5295581864325,202337.969850698,1024.79807927187,2158089.25321671,"scenario 1",0.0385730213453547,0.093757924770306
"12",1,2,2020,"May","2020 May","Alaska",484,90.0000000000097,73931.5489607056,562.999997351167,322786.189973299,"scenario 1",0.159857904837383,0.229041858844151
"13",1,6,2020,"Jun","2020 June","Alaska",658,101.919508574275,55386.0915395374,559.014177908538,337009.661356297,"scenario 1",0.182320078098181,0.164345708418672
"14",1,10,2020,"Jul","2020 July","Alaska",2574,124.149484076438,62408.7560280292,600.973663634518,339419.253116157,"scenario 1",0.206580573474081,0.183869227968254
"15",2,13,2020,"Aug","2020 August","Alaska",2456,128.890368202102,39060.1490684447,633.195480161165,343594.429026639,"scenario 1",0.203555414149981,0.113680973172637
"16",2,14,2020,"Sep","2020 September","Alaska",2674,133.625370031689,41090.7196166782,636.770670982521,343222.762934285,"scenario 1",0.209848499814711,0.11972026349705
"17",2,17,2020,"Oct","2020 October","Alaska",7520,105.006096633275,38781.9521491912,627.294248816957,349767.683082907,"scenario 1",0.167395280335044,0.110879175020862
"18",3,19,2020,"Nov","2020 November","Alaska",16232,91.3417538848069,33872.520632786,615.763622663325,347589.822492724,"scenario 1",0.148338990032786,0.0974496905285399
"19",3,21,2020,"Dec","2020 December","Alaska",14428,105.035260687961,45135.6283665838,613.817617388988,345428.259130547,"scenario 1",0.171118028730997,0.130665708938208
"20",3,22,2021,"Jan","2021 January","Alaska",7342,77.0796513219222,36423.7484703484,602.33830304396,337806.523675168,"scenario 1",0.127967374700222,0.107824289697179
"21",3,24,2021,"Feb","2021 February","Alaska",3931,85.0377891697953,39824.7588874033,610.817171489077,328888.742435759,"scenario 1",0.139219709495865,0.121088847834864
"22",3,26,2021,"Mar","2021 March","Alaska",4603,56.9147174179743,26116.5705707029,576.015022249583,323644.967587773,"scenario 1",0.0988076963612828,0.0806951233178686
"23",1,2,2020,"May","2020 May","Arizona",19936,131.000000000012,878623.942605071,695.999999999984,3478213.77714241,"scenario 1",0.188218390804619,0.252607803574087
"24",1,6,2020,"Jun","2020 June","Arizona",59293,190.818703546026,643838.431114844,681.098497447822,3530002.3727309,"scenario 1",0.280163154464519,0.182390367804981
"25",1,10,2020,"Jul","2020 July","Arizona",94789,174.515628212456,541654.840207404,709.593054443021,3563683.50559509,"scenario 1",0.24593762173932,0.15199297001459
"26",2,13,2020,"Aug","2020 August","Arizona",27837,190.199157947562,485984.075541891,684.285041315606,3460550.40931721,"scenario 1",0.277953113781188,0.140435485127864
"27",2,14,2020,"Sep","2020 September","Arizona",16657,180.261688444201,465775.799737434,893.784337835236,3516725.86994921,"scenario 1",0.201683650980949,0.132445864978427
"28",2,17,2020,"Oct","2020 October","Arizona",27436,108.626646691619,364724.049776075,897.574368288753,3462570.37126784,"scenario 1",0.121022447308426,0.105333324862515
"29",3,19,2020,"Nov","2020 November","Arizona",80870,101.421720774487,402832.127759907,884.275458348628,3416629.64266969,"scenario 1",0.114694713979613,0.117903363808885
"30",3,21,2020,"Dec","2020 December","Arizona",193400,100.018603683127,376118.362528955,838.668950283203,3480971.64137277,"scenario 1",0.119258741663624,0.108049820934659
