"","Phase","week","year","monthname","yearmonth","state","newcases","UE_unweight","UE_weight","CLF_unweight","CLF_weight","scenario","unemp_rt_unweight","unemp_rt_weight"
"27",2,14,2020,"Sep","2020 September","Arizona",28837.7952686646,149.370843739236,387485.590410488,882.766865448024,3474111.30867001,"scenario 3",0.169207578564276,0.111535168560511
"28",2,17,2020,"Oct","2020 October","Arizona",32012.8235716715,111.283857846485,373480.054556813,900.168984385782,3472258.47466585,"scenario 3",0.123625518960107,0.107561132698439
"29",3,19,2020,"Nov","2020 November","Arizona",54690.9096449182,97.5369012377832,387692.719267582,895.066384490624,3456888.58844468,"scenario 3",0.108971695203692,0.112150770656457
"30",3,21,2020,"Dec","2020 December","Arizona",149502.239663496,98.3650066037599,370032.013188837,840.792381100422,3489235.62540651,"scenario 3",0.116990839611344,0.106049591633906
"31",3,22,2021,"Jan","2021 January","Arizona",66711.1129031227,99.0872157264483,371047.021971655,851.035080917366,3502939.70669487,"scenario 3",0.116431411522587,0.105924467173244
"32",3,24,2021,"Feb","2021 February","Arizona",29119.6633710998,107.183405477471,403973.23647639,817.745446212475,3506963.47042928,"scenario 3",0.131071846347674,0.115191743479136
"33",3,26,2021,"Mar","2021 March","Arizona",43133.9064618538,100.31660432576,372663.390597674,775.781940947686,3488928.69290849,"scenario 3",0.129310311352716,0.106813129014399
"34",1,2,2020,"May","2020 May","Arkansas",25321.0179688165,64.0436380806226,304388.523762728,756.661365428144,1389330.65550422,"scenario 3",0.084639762259283,0.219090050706654
"35",1,6,2020,"Jun","2020 June","Arkansas",17810.5270586167,116.719931866615,240577.941616189,661.080929738361,1316145.34137822,"scenario 3",0.17655921781439,0.18278979840043
"36",1,10,2020,"Jul","2020 July","Arkansas",22567.0173977034,106.425839419371,205542.706772893,623.02535551414,1272082.95186743,"scenario 3",0.170821040391759,0.161579641069125
"37",2,13,2020,"Aug","2020 August","Arkansas",24643.3218850732,68.9999999999961,128258.150650937,684.999999487435,1322683.11417353,"scenario 3",0.100729927082667,0.0969681621217938
"38",2,14,2020,"Sep","2020 September","Arkansas",19876.765192107,72.0379895397667,132561.025253359,858.101188095903,1325284.99377992,"scenario 3",0.0839504600845695,0.100024542551617
"39",2,17,2020,"Oct","2020 October","Arkansas",19777.6891407265,53.7800441515092,127287.324555041,916.406229964362,1326973.57458639,"scenario 3",0.0586858124628863,0.0959230289078778
"40",3,19,2020,"Nov","2020 November","Arkansas",24623.4081638682,44.5022005932452,137374.812459769,896.62909509807,1353654.25204395,"scenario 3",0.0496327866634505,0.101484416905085
"41",3,21,2020,"Dec","2020 December","Arkansas",34624.573157826,44.3344693992801,143130.181536326,887.638729764399,1380512.46539035,"scenario 3",0.0499465243151879,0.103679021468202
"42",3,22,2021,"Jan","2021 January","Arkansas",26876.8636526913,44.3164393407408,132876.80481505,925.046205199441,1366459.72543156,"scenario 3",0.0479072711088914,0.0972416547242799
"43",3,24,2021,"Feb","2021 February","Arkansas",17929.1114707811,48.1960398339015,139851.637443533,868.157479148109,1361185.66334126,"scenario 3",0.0555153195030866,0.102742514272626
"44",3,26,2021,"Mar","2021 March","Arkansas",22818.6464894319,42.6434077749129,135028.838472877,864.253409121307,1358417.72833817,"scenario 3",0.0493413243440587,0.0994015578978534
"45",1,2,2020,"May","2020 May","California",223272.022453294,435.473302635464,5936678.36603341,3950.52580487672,18347513.1286208,"scenario 3",0.110231732215973,0.323568558006514
"46",1,6,2020,"Jun","2020 June","California",133490.696384296,765.958935635144,5239631.70717796,3748.25953464949,18534257.8248789,"scenario 3",0.204350560187869,0.282699839221224
"47",1,10,2020,"Jul","2020 July","California",203884.389208134,794.471482759845,4643101.71325566,3674.35827255016,18829171.8870774,"scenario 3",0.216220472754402,0.246590861302947
"48",2,13,2020,"Aug","2020 August","California",223717.187322735,832.000000002491,3767170.47056852,3710.9999880326,18738812.7189733,"scenario 3",0.224198330014972,0.201035707387919
"49",2,14,2020,"Sep","2020 September","California",124980.825023978,739.423907435175,3366619.8117634,4460.24025339741,18969421.6097065,"scenario 3",0.16578118339521,0.177476144556813
"50",2,17,2020,"Oct","2020 October","California",113551.209217933,523.682462607698,3300850.50501069,4697.21698809443,18849384.010025,"scenario 3",0.111487815856713,0.175117155194841
"51",3,19,2020,"Nov","2020 November","California",216042.067577471,435.29804396011,3450997.67446802,4589.11055123935,18758272.2513905,"scenario 3",0.0948545560408327,0.183972043278784
"52",3,21,2020,"Dec","2020 December","California",905311.626489038,526.389907865543,3663847.76144499,3981.91218016521,18641620.4918777,"scenario 3",0.132195257968673,0.196541269737862
"53",3,22,2021,"Jan","2021 January","California",279764.046154368,481.388446594503,3360613.31096816,4110.33718578216,18569091.5138532,"scenario 3",0.117116534443852,0.180978876024227
"54",3,24,2021,"Feb","2021 February","California",103378.516105131,525.754232268791,3532885.46273568,4561.3986670925,18598179.0237616,"scenario 3",0.115261627110509,0.189958675966176
"55",3,26,2021,"Mar","2021 March","California",160008.049853399,508.159278263782,3369907.33326102,4392.64041830412,18585866.3402683,"scenario 3",0.115684242248986,0.181315590651792
"56",1,2,2020,"May","2020 May","Colorado",38660.3067746207,112.617069121109,639352.179475384,610.40930660159,3039402.48668281,"scenario 3",0.184494351418225,0.210354562213039
"57",1,6,2020,"Jun","2020 June","Colorado",20941.6173220739,161.838630789183,542203.169904648,581.806704673272,3018082.89805668,"scenario 3",0.278165633859561,0.179651516614659
"58",1,10,2020,"Jul","2020 July","Colorado",26012.4974322954,159.174857667994,467934.002077275,722.996755737039,3084026.65824798,"scenario 3",0.220159850517901,0.151728261111435
"59",2,13,2020,"Aug","2020 August","Colorado",29168.4245781689,149.000002741423,302774.546963777,762.999999941474,3102256.33982117,"scenario 3",0.195281786045677,0.0975981717169221
"60",2,14,2020,"Sep","2020 September","Colorado",19326.0649573374,143.567065622827,290697.530832878,773.750117741837,3120159.68907654,"scenario 3",0.185547067885202,0.0931675169865792
"61",2,17,2020,"Oct","2020 October","Colorado",22892.1851408846,124.29072132094,288586.472126094,800.198492846388,3158703.17984792,"scenario 3",0.155324863058445,0.0913623267824702
"62",3,19,2020,"Nov","2020 November","Colorado",36435.073134008,112.318087999259,306188.268627046,738.196744847318,3171341.20831954,"scenario 3",0.15215196867671,0.0965485100826766
"63",3,21,2020,"Dec","2020 December","Colorado",81745.2016775229,121.017286117343,344525.47311791,765.860805224764,3158530.40269621,"scenario 3",0.158014727078019,0.109077776431664
"64",3,22,2021,"Jan","2021 January","Colorado",43069.7413466344,89.3090427224742,305465.988909738,773.232986297166,3137448.30345765,"scenario 3",0.115500818388717,0.0973612819605972
"65",3,24,2021,"Feb","2021 February","Colorado",20809.8109160425,106.189219832147,309311.015049756,756.152452071403,3129259.26617907,"scenario 3",0.140433611689353,0.0988448027917594
"66",3,26,2021,"Mar","2021 March","Colorado",29877.9233942928,96.6780385188416,292262.026286075,755.395633441479,3124107.69212392,"scenario 3",0.127983316607735,0.0935505607002237
"67",1,2,2020,"May","2020 May","Connecticut",28511.8773294358,103.090091517069,517688.804441374,485.725827568076,1782251.02497242,"scenario 3",0.212239262699328,0.290469073765512
"68",1,6,2020,"Jun","2020 June","Connecticut",16675.5173450666,135.420376795967,371992.806270546,511.213011708171,1850571.59879086,"scenario 3",0.264900097795775,0.20101508448179
"69",1,10,2020,"Jul","2020 July","Connecticut",13586.7952404124,113.344979170045,272566.683034517,551.832413689589,1881873.2415661,"scenario 3",0.205397465531633,0.144837960928594
"70",2,13,2020,"Aug","2020 August","Connecticut",13433.5208564275,132.000000235839,224105.49855567,591.999999999994,1851870.5006176,"scenario 3",0.222972973371352,0.121015750551095
"71",2,14,2020,"Sep","2020 September","Connecticut",9533.42318019898,122.159332094234,210838.889912761,584.522489051869,1777986.17341319,"scenario 3",0.208989960835184,0.118582974977817
"72",2,17,2020,"Oct","2020 October","Connecticut",11666.1244214234,94.6501010673866,200973.181698,579.500739947737,1756513.31933838,"scenario 3",0.163330423143071,0.114415973670897
"73",3,19,2020,"Nov","2020 November","Connecticut",18709.7519988684,74.4310003282536,209952.921648063,553.594766763324,1779561.90055895,"scenario 3",0.134450332259146,0.117980117231167
"74",3,21,2020,"Dec","2020 December","Connecticut",62288.8814728348,75.4265703720978,223191.625006855,553.684403435635,1819374.7538682,"scenario 3",0.136226648076183,0.122674904954201
"75",3,22,2021,"Jan","2021 January","Connecticut",24288.5605218881,73.3668862439824,205900.515514547,530.232896436139,1787753.24779546,"scenario 3",0.138367284898965,0.11517278224411
"76",3,24,2021,"Feb","2021 February","Connecticut",10743.2980797016,84.9636024507448,219731.64520203,494.99130074784,1780607.64188533,"scenario 3",0.171646657875362,0.123402618315945
"77",3,26,2021,"Mar","2021 March","Connecticut",16619.2622672106,81.1470621001282,209885.701364595,482.70215065158,1788359.18844362,"scenario 3",0.168110007362907,0.117362162322243
"78",1,2,2020,"May","2020 May","Delaware",6806.3169261396,88.183508140029,116446.935913881,485.247783253903,463412.519842855,"scenario 3",0.181728822229132,0.251281376587255
"79",1,6,2020,"Jun","2020 June","Delaware",4054.55220828271,103.960239863525,89853.472602953,463.472342768325,472859.961435947,"scenario 3",0.224307321646357,0.190021316945703
